# 2016 10 14 00 00  9.050 42.8128  13.2100   8.500  0.92 0 0 0      1
 ED24   3.280 1 P
 ED24   6.570 1 S
 ED03   8.010 1 S
 ED01  10.690 1 S
 ED01   5.840 1 P
T1218   5.610 1 S
T1218   3.360 1 P
T1211  13.480 1 S
 ED02  10.500 1 S
 ED02   5.690 1 P
 ED11   3.620 1 P
 ED11   6.870 1 S
 ED10   1.580 1 P
T1212   2.940 1 P
T1212   5.470 1 S
T1217   8.520 1 S
T1215   4.880 1 P
 ED12   3.510 1 P
 NRCA   1.751 1 P
T1216   3.250 1 P
T1216   6.230 1 S
 CESI  10.651 1 S
 ED19   2.590 1 P
 ED19   4.750 1 S
 FDMO   8.570 1 S
 FDMO   4.690 1 P
  MC2   4.341 1 S
 CSP1  10.690 1 S
 ED18   3.620 1 P
 ED18   7.110 1 S
 ED22   4.540 1 P
 ED22   8.410 1 S
 ED17   3.330 1 P
 ED17   6.190 1 S
 MMO1   4.750 1 S
 MMO1   2.540 1 P
 ED16   1.850 1 P
 ED09   6.740 1 S
 ED09   3.060 1 P
 ED20   3.280 1 P
T1243   7.601 1 S
T1243   3.941 1 P
 TERO   6.380 1 P
 ED07   4.880 1 P
 ED07   9.620 1 S
T1246   5.760 1 P
T1246  10.770 1 S
 ED23   2.160 1 P
 ED23   4.240 1 S
 ED15   6.890 1 P
 GIGS  15.180 1 S
T1204   3.280 1 P
T1204   6.430 1 S
 CAMP  10.730 1 S
 CAMP   5.780 1 P
 SMA1   4.000 1 P
 ED25   4.960 1 P
 ED25   9.090 1 S
 ED14  13.830 1 S
 ED14   7.350 1 P
 ED05  12.380 1 S
 ED05   6.570 1 P
T1299   3.850 1 P
T1201   6.750 1 S
T1202   4.840 1 S
T1202   2.560 1 P
T1214   1.540 1 P
 RM33  10.830 1 S
# 2016 10 14 00 01 50.165 42.7364  13.1929   3.500  0.61 0 0 0      2
T1218   1.415 1 P
T1218   3.635 1 S
 ED02   4.455 1 P
 ED02   8.545 1 S
 ED11   2.485 1 P
T1217   7.475 1 S
T1212   2.195 1 P
T1215   8.835 1 S
 ED12   3.375 1 P
 ED12   6.485 1 S
 ED10   2.325 1 S
 ED10   1.195 1 P
 NRCA   2.525 1 P
 ED22  11.005 1 S
 ED17   8.875 1 S
 ED17   4.715 1 P
 MMO1   7.025 1 S
 ED16   5.295 1 S
T1214   0.845 1 P
T1241   7.855 1 S
 ED09   6.695 1 S
 ED09   3.475 1 P
T1244   1.675 1 P
 ED20   6.625 1 S
 ED20   3.345 1 P
 ED23   1.795 1 P
T1243   6.995 1 S
T1243   3.715 1 P
 TERO  11.085 1 S
 ED07   8.495 1 S
T1246   9.545 1 S
 ED25   7.435 1 S
T1202   1.105 1 P
T1202   1.335 1 S
